name,month,day,easter_offset,kind,forced
saint_bartholomew,august,24.0,,feast,False
saint_louis_of_france,august,25.0,,feast,False
saint_teresa_of_jesus_jornet_ibars,august,26.0,,feast,False
saint_monica,august,27.0,,feast,False
saint_augustine,august,28.0,,feast,False
beheading_of_john_the_baptist,august,29.0,,feast,False
saint_jeanne_jugan,august,30.0,,feast,False
saint_giles,september,1.0,,feast,False
blessed_john_francis_burte_and_companions,september,2.0,,feast,False
saint_gregory_the_great,september,3.0,,feast,False
saint_rose_of_viterbo,september,4.0,,feast,False
blessed_teresa_of_kolkata,september,5.0,,feast,False
saint_eleutherius,september,6.0,,feast,False
blessed_frederic_ozanam,september,7.0,,feast,False
marymas,september,8.0,,feast,False
saint_peter_claver,september,9.0,,feast,False
pedro_de_corpa_and_companions,september,10.0,,feast,False
saint_jean-gabriel_perboyre,september,11.0,,feast,False
holy_name_of_mary,september,12.0,,feast,False
saint_john_chrysostom,september,13.0,,feast,False
holy_cross,september,14.0,,feast,False
our_lady_of_sorrows,september,15.0,,feast,False
saint_cyprian,september,16.0,,feast,False
saint_robert_bellarmine,september,17.0,,feast,False
saint_joseph_of_cupertino,september,18.0,,feast,False
our_lady_of_la_salette,september,19.0,,feast,False
saint_andrew_kim_taegon,september,20.0,,feast,False
saint_matthew,september,21.0,,feast,False
saint_thomas_of_villanova,september,22.0,,feast,False
saint_padre_pio,september,23.0,,feast,False
saint_pacifico_of_san_severino,september,24.0,,feast,False
saint_finbar,september,25.0,,feast,False
saints_cosmas_and_damian,september,26.0,,feast,False
saint_vincent_de_paul,september,27.0,,feast,False
saint_wenceslaus,september,28.0,,feast,False
michaelmas,september,29.0,,feast,False
saint_jerome,september,30.0,,feast,False
saint_therese_of_lisieux,october,1.0,,feast,False
guardian_angels,october,2.0,,feast,False
saint_theodora_guerin,october,3.0,,feast,False
saint_francis_of_assisi,october,4.0,,feast,False
blessed_francis_xavier_seelos,october,5.0,,feast,False
saint_bruno,october,6.0,,feast,False
our_lady_of_the_rosary,october,7.0,,feast,False
saint_pelagia,october,8.0,,feast,False
saint_john_henry_newman,october,9.0,,feast,False
saint_francis_borgia,october,10.0,,feast,False
saint_damien_of_molokai,october,11.0,,feast,False
saint_seraphin_of_montegranaro,october,12.0,,feast,False
saint_edward_the_confessor,october,13.0,,feast,False
saint_callistus_i,october,14.0,,feast,False
saint_teresa_of_avila,october,15.0,,feast,False
saint_margaret_of_cortona,october,16.0,,feast,False
saint_ignatius_of_antioch,october,17.0,,feast,False
saint_luke,october,18.0,,feast,False
saint_isaac_jogues,october,19.0,,feast,False
blessed_james_of_strepar,october,20.0,,feast,False
saint_hilarion,october,21.0,,feast,False
saint_john_paul_ii,october,22.0,,feast,False
saint_john_of_capistrano,october,23.0,,feast,False
saint_anthony_mary_claret,october,24.0,,feast,False
saint_antonio_de_santanna_galvao,october,25.0,,feast,False
saint_bean,october,26.0,,feast,False
saint_frumentius,october,27.0,,feast,False
saints_simon_and_jude,october,28.0,,feast,False
saint_narcissus_of_jerusalem,october,29.0,,feast,False
saint_alphonsus_rodriguez,october,30.0,,feast,False

all_saints,november,1.0,,solemnity,True
all_souls,november,2.0,,feast,True
saint_malachy,november,3.0,,feast,False
saint_charles_borromeo,november,4.0,,feast,False
