,poet,title,timestamp
300,verlaine,IN MUTED TONE,1638739485.3302138
301,ashbery,ALCOVE,1638739485.338331
302,rilke,THE NEIGHBOUR,1638739485.3468008
303,lowell,"""TO SPEAK OF WOE THAT IS IN MARRIAGE""",1638739485.35478
304,tennyson,ULYSSES,1638739485.362874
305,chesterton,THE HIGHER UNITY,1638739485.3716102
306,blake,THE ECHOING GREEN,1638739485.380056
307,cummings,ALL IN GREEN MY LOVE WENT RIDING,1638739485.388182
308,eliot,MR. APOLLINAX,1638739485.395574
309,hopkins,HENRY PURCELL,1638739485.403263
310,owen,WILD WITH ALL REGRETS,1638739485.411398
311,lewis,AS THE RUIN FALLS,1638739485.4199748
312,millay,TO A POET THAT DIED YOUNG,1638739485.4282858
313,mccrae,THE SONG OF THE DERELICT,1638739485.4358678
314,tennyson,ULYSSES,1638739485.4434729
315,hopkins,THE HANDSOME HEART:  AT A GRACIOUS ANSWER,1638739485.450666
